"lat","spring","autumn","warm_days"
25,52.8131993322598,318.527361081558,265.714161749298
25.25,54.0474113686084,317.610039059457,263.562627690849
25.5,52.8130831500574,318.875119935232,266.062036785175
25.75,55.5213249184985,316.717179073423,261.195854154925
26,58.0825699378011,314.685507355227,256.602937417426
26.25,55.7046726802395,317.164856983329,261.460184303089
26.5,55.9171862650319,316.909311288027,260.992125022995
26.75,55.6385181905911,317.316634612901,261.67811642231
27,57.8609479917729,315.811317457645,257.950369465873
27.25,61.1876977980235,313.136000670427,251.948302872403
27.5,61.8389830678717,312.761699139735,250.922716071864
27.75,62.5746647452529,312.287784099308,249.713119354055
28,62.5495800611498,312.56978333928,250.02020327813
28.25,63.4881454114945,311.868181299663,248.380035888169
28.5,64.9643188156089,310.616634668124,245.652315852515
28.75,66.4859303238553,309.619931984312,243.134001660457
29,67.5820089671262,308.887363398943,241.305354431817
29.25,68.762058872992,308.893928019701,240.131869146709
29.5,70.9965312587127,307.370858389843,236.37432713113
29.75,72.9207185872375,306.402607114115,233.481888526877
30,73.6003830569252,305.797761469681,232.197378412756
30.25,75.3633435324525,304.519437008186,229.156093475734
30.5,76.5120040237157,303.508888733781,226.996884710065
30.75,78.3588945211202,301.872551883754,223.513657362634
31,79.3861808253099,301.05171907629,221.66553825098
31.25,81.4111709037944,299.746491803608,218.335320899813
31.5,82.5047393876677,299.047113014333,216.542373626666
31.75,84.9530280057108,297.525797620986,212.572769615276
32,85.4559141660761,297.424781196477,211.968867030401
32.25,87.5999383878112,296.008367093615,208.408428705804
32.5,88.3142007806692,295.526312634745,207.212111854076
32.75,90.5024206746181,294.607966778184,204.105546103566
33,91.9925447905387,293.691130703146,201.698585912607
33.25,95.1059345286087,291.844347057392,196.738412528783
33.5,96.3734470841321,291.111855162812,194.73840807868
33.75,98.8903432163507,289.947048928697,191.056705712346
34,99.9865297093875,289.730658038215,189.744128328827
34.25,103.07012011916,288.046989407421,184.97686928826
34.5,104.505182200259,287.077166535494,182.571984335235
34.75,106.203115537402,286.025707770231,179.82259223283
35,106.907345051151,285.208158881672,178.300813830521
35.25,109.48840856589,283.140287668568,173.651879102679
35.5,110.484245203947,283.193348734832,172.709103530886
35.75,112.370272799555,282.004962104953,169.634689305397
36,113.019557945634,281.625548985825,168.605991040191
36.25,114.900944120866,280.251594051178,165.350649930313
36.5,115.644412019659,279.8898743728,164.24546235314
36.75,117.304498115544,278.709668812809,161.405170697264
37,118.240410075944,278.231178703737,159.990768627793
37.25,119.546697158673,277.36945812743,157.822760968757
37.5,120.080036347269,276.934560535623,156.854524188354
37.75,121.275311351101,276.29189075426,155.016579403159
38,122.021839023039,275.788634380621,153.766795357582
38.25,123.092356262939,274.965593024995,151.873236762056
38.5,123.830510619371,274.277350163399,150.446839544029
38.75,124.927432414161,273.700541312311,148.77310889815
39,125.509486526191,273.588842149157,148.079355622966
39.25,126.453577327013,272.651850141409,146.198272814397
